"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_149_df95a141","Aineettomat oikeudet","Aineettomat oikeudet","","BAIPR","[('account_id.user_type_id', '=', 20)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_128_719fd5e2","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_154_7b21be0d","Rakennukset ja rakennelmat","Rakennukset ja rakennelmat","","BARR","","","balance = BRRO.balance + BRRV.balance","","False","True","__export__.account_financial_html_report_line_129_5893a919","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_169_d3111ffd","Keskeneräiset tuotteet","Keskeneräiset tuotteet","","BAVOK","[('account_id.user_type_id', '=', 37)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_131_afca02c8","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_174_8fd8bcc6","Lyhytaikaiset","Lyhytaikaiset","","BASL","","","balance = BASLM.balance + BASLK.balance + BASLY.balance + BASLL.balance + BASLD.balance + BASLU.balance+ BSLMO.balance + BASLS.balance","","False","True","__export__.account_financial_html_report_line_132_00212682","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_176_aea07be5","Saamiset saman konsernin yrityksiltä","Saamiset saman konsernin yrityksiltä","","BASPK","[('account_id.user_type_id', '=', 43)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_173_f8023b1a","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_184_c3ada273","Saamiset saman konsernin yrityksiltä","Saamiset saman konsernin yrityksiltä","","BASLK","[('account_id.user_type_id', 'in', [51,52])]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_174_8fd8bcc6","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_192_875c0be4","Muut osakkeet ja osuudet","Muut osakkeet ja osuudet","","BARM","[('account_id.user_type_id', '=', 61)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_133_154df95f","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_195_89ac0a22","Vararahasto","Vararahasto","","VARA","[('account_id.user_type_id', '=', 68)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_138_d3c5aa8a","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_200_a94228ea","Joukkovelkakirjalainat","Joukkovelkakirjalainat","","BPVPJ","[('account_id.user_type_id', '=', 80)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_213_46113826","Joukkovelkakirjalainat","Joukkovelkakirjalainat","","BPVLJ","[('account_id.user_type_id', '=', 93)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","1","Foldable","Use given dates","Float","4"
